id,predicted_positions
969,"[3, 7, 11, 16, 18, 20, 24, 28]"
970,"[4, 8, 14, 16, 21]"
971,"[3, 13, 20, 27, 28]"
972,"[5, 17, 23]"
973,"[10, 17, 20, 27]"
974,"[2, 9, 14, 18, 20, 26]"
975,"[2, 9, 14, 16, 23, 26, 28, 30]"
976,"[4, 6, 11, 12, 19]"
977,"[3, 11, 14]"
978,"[4, 12, 15]"
979,"[1, 7, 12, 15]"
980,"[1, 15, 20]"
981,"[4, 8, 10, 16]"
982,"[2, 7]"
983,"[2, 7]"
984,"[1, 6, 14, 18, 23]"
985,"[2, 7, 8, 12, 13, 18, 23]"
986,"[6, 11, 12]"
987,"[1, 10, 17, 20, 27, 31]"
988,"[4, 11, 13, 17, 23, 33]"
989,[]
990,"[2, 7]"
991,"[4, 6, 11]"
992,"[16, 18]"
993,"[12, 17]"
994,"[2, 10]"
995,"[7, 13, 14]"
996,"[7, 9, 13, 20]"
997,"[7, 12]"
998,"[4, 8, 9, 13, 18]"
999,[]
1000,[3]
1001,"[7, 10, 16]"
1002,[19]
1003,"[9, 20, 23]"
1004,"[9, 12]"
